pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 8.10000038146973 11.8000001907349 24.6000003814697 1284.09997558594 30.5 -17.2999992370605 47.7999992370605 24.8999996185303 -11.6000003814697 23.7000007629395 -8.10000038146973 1079 294 4 115.699996948242 741 19 741 19
GDS mixed 111.9166667 38.45 11.5 14.1000003814697 31.5 1146.80004882812 32.7999992370605 -11.8999996185303 44.7000007629395 26.2999992370605 -5.59999990463257 25.3999996185303 -2.70000004768372 749 242 2 126.699996948242 544 10 514 10
hanguo Ne 128.4 37.1 15.1999998092651 11.3999996185303 29.6000003814697 1023.29998779297 34.0999984741211 -4.5 38.5999984741211 29.2999992370605 0.300000011920929 27.6000003814697 2.40000009536743 1880 438 34 88.5999984741211 1087 122 1050 122
HH Ne 127.8666667 50.4 7.19999980926514 11.6999998092651 20.8999996185303 1607.5 33.2999992370605 -22.8999996185303 56.2000007629395 27.2999992370605 -12.5 26.2999992370605 -13.8000001907349 784 196 6 105.800003051758 511 22 511 25
HM Ne 127.1 52.2 5.69999980926514 13.3999996185303 23.3999996185303 1599.69995117188 33.4000015258789 -23.8999996185303 57.2999992370605 26.5 -18 25.2000007629395 -14.6999998092651 725 188 5 108.099998474121 474 19 474 19
hybrid03 mixed 103.63 32.53 9.30000019073486 12.3000001907349 39.9000015258789 678.5 24.8999996185303 -6 30.8999996185303 18.2000007629395 0 17.3999996185303 0.800000011920929 1033 178 5 78.4000015258789 497 22 497 22
hybrid13-15 mixed 100.26 28.68 7.40000009536743 13.6000003814697 47.9000015258789 584.599975585938 20.1000003814697 -8.30000019073486 28.3999996185303 15 -0.400000005960464 14.3999996185303 0.200000002980232 1075 269 4 94 621 21 621 21
JSZ Ne 127.3166667 43.25 10 11.8999996185303 24 1331.19995117188 32.5 -17.1000003814697 49.5999984741211 27.1000003814697 -11.3000001907349 26 -7.19999980926514 1120 317 6 114.699996948242 760 25 760 25
KMC rot 103.3833333 25.46666667 18.7000007629395 12 47.2999992370605 504.899993896484 29.1000003814697 3.79999995231628 25.2999992370605 24.8999996185303 11.6999998092651 24.3999996185303 12 1474 293 13 88.5 812 48 812 48
LHS Ne 124.8166667 44.78333333 11.3000001907349 10.6000003814697 21.5 1400.19995117188 34.2999992370605 -15.1000003814697 49.4000015258789 29.2000007629395 -10.6000003814697 28.1000003814697 -6.5 844 283 2 130 629 10 629 10
LiuJQ-MZL-2013-042+43 mixed 110.2974333 31.471 11.3000001907349 8.80000019073486 28.8999996185303 806.400024414062 26.6000003814697 -4 30.6000003814697 22.6000003814697 -0.200000002980232 21.2999992370605 1.60000002384186 1944 352 22 70.9000015258789 887 85 878 85
LiuJQ-MZL-2013-082 mixed 111.8500556 33.94915 18.5 11.8000001907349 31.8999996185303 942.5 36.7000007629395 -0.300000011920929 37 31.2999992370605 4.80000019073486 30.2999992370605 6.90000009536743 1105 210 8 78.5 567 33 547 33
LiuJQ-MZL-2013-099 mixed 110.9376 35.92536667 13.3000001907349 11.5 30.1000003814697 1013.59997558594 32.2999992370605 -6.09999990463257 38.4000015258789 27.1000003814697 -1.5 25.7000007629395 0.899999976158142 810 186 4 93.6999969482422 478 15 448 15
LiuJQ-MZL-2013-115 mixed 112.0744 38.85555 7.59999990463257 13 30.6000003814697 1104.59997558594 28.1000003814697 -14.5 42.5999984741211 22.2000007629395 -8.5 21 -5.90000009536743 826 262 2 127.099998474121 598 12 573 12
LiuJQ-MZL-2013-117 mixed 111.2848333 38.21626667 9.69999980926514 13 30.2000007629395 1123.90002441406 30.2999992370605 -12.6999998092651 43 24.2999992370605 -7 23.2999992370605 -4.19999980926514 825 261 4 120.400001525879 583 15 537 15
LiuJQ-MZL-2013-136 mixed 111.2645667 37.20483333 11.3999996185303 12.3999996185303 30.2999992370605 1064.19995117188 31.2999992370605 -9.69999980926514 41 25.5 -4.40000009536743 24.2000007629395 -1.79999995231628 811 239 2 112.199996948242 543 11 509 11
LiuJQ-MZL-2013-142 mixed 113.4846667 38.95088333 8 13.1000003814697 30.5 1106.40002441406 28.3999996185303 -14.3999996185303 42.7999992370605 22.5 -8.19999980926514 21.3999996185303 -5.59999990463257 864 273 5 122.199996948242 599 21 592 21
LiuJQ-MZL-2013-152 mixed 113.8048639 39.57789722 8.89999961853027 13.1999998092651 29.8999996185303 1148.90002441406 30.1000003814697 -14.1999998092651 44.2999992370605 23.7999992370605 -8.10000038146973 22.7999992370605 -5.30000019073486 785 234 6 118.199996948242 535 23 527 23
LiuJQ-MZL-2013-167 mixed 114.7267778 39.22044444 11.6999998092651 12 28.3999996185303 1116.19995117188 32.0999984741211 -10.1000003814697 42.2000007629395 26.2999992370605 -4.69999980926514 25.2000007629395 -2.09999990463257 846 264 2 126.800003051758 601 12 601 12
LiuJQ-MZL-2013-174 mixed 117.4806667 40.58663889 9.5 11.3999996185303 26.8999996185303 1130.40002441406 30.2000007629395 -12 42.2000007629395 24.7000007629395 -6.90000009536743 23.2999992370605 -4.30000019073486 1036 313 3 128.300003051758 755 12 755 12
LiuJQ-MZL-2013-192 mixed 119.1591944 40.9085 13.3999996185303 12 27.7999992370605 1155.59997558594 34.0999984741211 -9.19999980926514 43.2999992370605 28.7999992370605 -3.59999990463257 27.5 -0.800000011920929 935 288 2 132.899993896484 691 8 691 8
LiuJQ-MZL-2013-197 mixed 119.9179167 41.17952778 14 12.1999998092651 27.7000007629395 1186.19995117188 34.9000015258789 -9.10000038146973 44 29.7000007629395 -3.5 28.3999996185303 -0.699999988079071 897 279 2 132.899993896484 666 8 666 8
LiuJQ-MZL-2013-203 mixed 121.5665 41.53786111 13.3999996185303 10.1000003814697 24.2000007629395 1184.59997558594 33.4000015258789 -8.10000038146973 41.5 29 -4 27.7999992370605 -1.20000004768372 976 316 2 131.300003051758 713 7 713 7
LiuJQ-MZL-2013-221 Ne 123.15125 40.99263889 13.1999998092651 9.80000019073486 23.2999992370605 1180.40002441406 33 -8.80000019073486 41.7999992370605 28.5 -4.59999990463257 27.5 -1.29999995231628 1383 454 5 131 993 21 993 21
LiuJQ-MZL-2013-238 Ne 124.38425 40.62366667 12.6999998092651 10.8999996185303 25.5 1159.59997558594 32.9000015258789 -9.89999961853027 42.7999992370605 27.7999992370605 -4.69999980926514 26.7999992370605 -1.70000004768372 1769 537 10 128.300003051758 1265 39 1265 39
LiuJQ-MZL-2013-247 Ne 126.5994722 41.94136111 10.3999996185303 12.6000003814697 25.6000003814697 1291.80004882812 33.4000015258789 -15.6000003814697 49 27.5 -9.89999961853027 26.2000007629395 -6.09999990463257 1506 453 9 120.800003051758 1051 36 1051 36
LiuJQ-MZL-2013-257 Ne 127.5297778 41.47919444 9.69999980926514 12.3999996185303 26.2999992370605 1247.5 32.2000007629395 -15 47.2000007629395 26.2999992370605 -9.5 25 -6.09999990463257 1359 392 10 116 931 39 931 39
