pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 7.19999980926514 11.1999998092651 24.7000007629395 1293.09997558594 28.2000007629395 -17.2000007629395 45.4000015258789 23.7000007629395 -11.6000003814697 22.7999992370605 -9 709 206 4 104.900001525879 450 18 450 18
GDS mixed 111.9166667 38.45 10.3000001907349 15.1000003814697 34.0999984741211 1107.40002441406 30.5 -13.6999998092651 44.2000007629395 22.7999992370605 -5.59999990463257 23.3999996185303 -3.79999995231628 512 135 2 107.599998474121 332 9 323 9
hanguo Ne 128.4 37.1 14.3000001907349 11 29.5 1001.90002441406 31.7000007629395 -5.40000009536743 37.0999984741211 27.2000007629395 0 26.2999992370605 1.60000002384186 1326 301 29 74.5 664 113 662 113
HH Ne 127.8666667 50.4 6.19999980926514 11.8999996185303 21.5 1634.69995117188 31.7999992370605 -23.7000007629395 55.5 26.5 -13.3999996185303 25.3999996185303 -15.1000003814697 596 136 5 97.5 375 22 375 24
HM Ne 127.1 52.2 4.69999980926514 13.1999998092651 23.5 1617.19995117188 31.5 -24.7000007629395 56.2000007629395 25.6000003814697 -18.5 24.2000007629395 -16 594 141 4 99.4000015258789 377 18 377 18
hybrid03 mixed 103.63 32.53 8.10000038146973 11.6000003814697 37.7999992370605 665.299987792969 22.5 -8.19999980926514 30.7000007629395 14.8000001907349 -1.70000004768372 16.1000003814697 -0.300000011920929 836 146 4 78 383 20 357 20
hybrid13-15 mixed 100.26 28.68 6.59999990463257 12.6999998092651 45.2000007629395 573.099975585938 18.5 -9.60000038146973 28.1000003814697 13.3000001907349 -0.100000001490116 13.1999998092651 -0.600000023841858 835 172 4 86.5 454 21 454 21
JSZ Ne 127.3166667 43.25 9 11.3999996185303 23.8999996185303 1345.5 30.2000007629395 -17.3999996185303 47.5999984741211 25.7000007629395 -11.3999996185303 24.8999996185303 -8.39999961853027 736 204 7 98.8000030517578 450 27 450 27
KMC rot 103.3833333 25.46666667 18 11 45.2000007629395 481 28.2000007629395 3.90000009536743 24.2999992370605 23.1000003814697 10.6999998092651 23 11.5 992 174 11 78.9000015258789 509 46 509 46
LHS Ne 124.8166667 44.78333333 9.60000038146973 11.5 23.1000003814697 1458.69995117188 32.0999984741211 -17.8999996185303 50 27.5 -12.3000001907349 26.7999992370605 -9 581 211 3 124.599998474121 408 12 408 12
LiuJQ-MZL-2013-042+43 mixed 110.2974333 31.471 10.1000003814697 8 27.7999992370605 774.099975585938 23.6000003814697 -5.30000019073486 28.8999996185303 18.1000003814697 -0.600000023841858 19.3999996185303 0.5 1416 207 19 63.4000015258789 597 70 597 70
LiuJQ-MZL-2013-082 mixed 111.8500556 33.94915 17.2999992370605 11.1999998092651 31.3999996185303 907.700012207031 33.7000007629395 -1.79999995231628 35.5 28.1000003814697 4.40000009536743 28.2999992370605 5.90000009536743 809 154 7 71.3000030517578 383 28 371 28
LiuJQ-MZL-2013-099 mixed 110.9376 35.92536667 12 12.1000003814697 32 977.599975585938 29.7999992370605 -7.90000009536743 37.7000007629395 23.5 -1.5 23.7999992370605 -0.200000002980232 612 124 3 84.6999969482422 326 12 321 12
LiuJQ-MZL-2013-115 mixed 112.0744 38.85555 6.5 13.8999996185303 33.2000007629395 1062.80004882812 25.7000007629395 -16.2000007629395 41.9000015258789 18.8999996185303 -8.5 19.1000003814697 -6.90000009536743 575 159 2 108.599998474121 371 12 368 12
LiuJQ-MZL-2013-117 mixed 111.2848333 38.21626667 8.60000038146973 13.8999996185303 32.5999984741211 1084.90002441406 28 -14.5 42.5 21 -7 21.3999996185303 -5.30000019073486 561 137 3 97.9000015258789 344 12 327 12
LiuJQ-MZL-2013-136 mixed 111.2645667 37.20483333 10.1000003814697 13.1999998092651 32.9000015258789 1022.20001220703 28.7000007629395 -11.3999996185303 40.0999984741211 22.1000003814697 -4.40000009536743 22.3999996185303 -2.70000004768372 563 128 2 95.0999984741211 331 9 326 9
LiuJQ-MZL-2013-142 mixed 113.4846667 38.95088333 6.69999980926514 14 33.7999992370605 1064.69995117188 25.6000003814697 -15.8999996185303 41.5 20.2000007629395 -8.19999980926514 19.3999996185303 -6.69999980926514 629 185 4 109.400001525879 405 18 405 18
LiuJQ-MZL-2013-152 mixed 113.8048639 39.57789722 7.69999980926514 14.3000001907349 33.2999992370605 1107.40002441406 27.2999992370605 -15.5 42.7999992370605 21.7999992370605 -8 20.8999996185303 -6.19999980926514 577 172 5 107.199996948242 369 20 369 20
LiuJQ-MZL-2013-167 mixed 114.7267778 39.22044444 10.1000003814697 13.3999996185303 32.5999984741211 1089.09997558594 28.7000007629395 -12.3999996185303 41.0999984741211 23.8999996185303 -5.09999990463257 23.1000003814697 -3.5 620 203 2 120.699996948242 429 11 429 11
LiuJQ-MZL-2013-174 mixed 117.4806667 40.58663889 8.10000038146973 12.3000001907349 30 1126.40002441406 26.5 -14.3000001907349 40.7999992370605 22.3999996185303 -7.69999980926514 21.5 -6 790 275 3 129.800003051758 581 12 581 12
