pop,kinship,lon,lat,freq_hap_pdav
BSS,pdav-N,127.9166667,43.96666667,0
GDS,mixed,111.9266667,38.25,0.5
hanguo,pdav-N,128.4,37.1,0
HH,pdav-N,127.8666667,50.4,0
HM,pdav-N,127.1,52.2,0
hybrid03,mixed,103.63,32.53,0.5
hybrid13-15,mixed,100.35,28.35,1
JSZ,pdav-N,127.3166667,43.25,0
KMC,Prot,103.2833333,25.46666667,1
LHS,pdav-N,124.8166667,44.78333333,0
LiuJQ-MZL-2013-042+43,mixed,110.2974333,31.471,0.357142857
LiuJQ-MZL-2013-082,mixed,111.8500556,33.94915,0.25
LiuJQ-MZL-2013-099,mixed,110.9376,35.92536667,0.5
LiuJQ-MZL-2013-115,mixed,112.0744,38.85555,0.25
LiuJQ-MZL-2013-117,mixed,111.2848333,38.21626667,0.75
LiuJQ-MZL-2013-136,mixed,111.2645667,37.20483333,0.333333333
LiuJQ-MZL-2013-142,mixed,113.4846667,38.95088333,0.5
LiuJQ-MZL-2013-152,mixed,113.8048639,39.57789722,0.5
LiuJQ-MZL-2013-167,mixed,114.7267778,39.22044444,0.166666667
LiuJQ-MZL-2013-174,mixed,117.4806667,40.58663889,0.4
LiuJQ-MZL-2013-192,mixed,119.1591944,40.9085,0.25
LiuJQ-MZL-2013-197,mixed,119.9179167,41.17952778,0
LiuJQ-MZL-2013-203,mixed,121.5665,41.53786111,0.333333333
LiuJQ-MZL-2013-221,pdav-N,123.15125,40.99263889,0
LiuJQ-MZL-2013-238,pdav-N,124.38425,40.62366667,0.125
LiuJQ-MZL-2013-247,pdav-N,126.5994722,41.94136111,0
LiuJQ-MZL-2013-257,pdav-N,127.5297778,41.47919444,0.1
LiuJQ-MZL-2013-264,pdav-N,128.1434167,41.57469444,0
LiuJQ-MZL-2013-270,pdav-N,126.8848333,42.62916667,0
LiuJQ-MZL-2013-282,pdav-N,128.9276111,42.48758333,0
LiuJQ-MZL-2013-298,pdav-N,129.0338889,43.90666667,0
LiuJQ-MZL-2013-313,pdav-N,129.7575,46.71594444,0
LiuJQ-MZL-2013-327,pdav-N,127.1319444,45.38769444,0
LiuJQ-MZL-2013-338,pdav-N,126.7770833,48.75094444,0
LiuJQ-MZL-2013-342,pdav-N,127.6398333,49.46366667,0
LiuJQ-MZL-2013-349A,pdav-N,127.4135,50.16175,0
LiuJQ-MZL-2013-357,pdav-N,126.5409722,49.518,0.125
LiuJQ-MZL-2013-361,pdav-N,124.1177778,50.43052778,0
LiuJQ-MZL-2013-398,pdav-N,118.1725556,42.10461111,0.125
LiuJQ-MZL-2013-422,mixed,111.7,40.93136111,0.25
LiuJQ-MZL-2013-425,mixed,105.9248056,38.74583333,0.5
LiuJQ-QTP-2013-102,Prot,92.93527778,29.03555556,1
LiuJQ-QTP-2013-196,Prot,92.58152778,28.59327778,1
LiuJQ-QTP-2013-210,Prot,97.47755556,28.78761111,1
LJ,Prot,100.3666667,27.41666667,1
LZQ-106,Prot,102.3541667,27.69965,1
LZQ-117,Prot,101.2521667,27.96751667,1
LZQ-81,Prot,104.1082,26.73855,1
LZQ-98,Prot,102.8304167,27.15027778,1
MaoKS-CX-2014-120,Prot,101.75279,27.56695,1
MaoKS-CX-2014-188,Prot,96.6905,29.83564,1
MaoKS-CX-2014-198,mixed,98.31017,29.56415,1
MaoKS-CX-2014-204,mixed,98.84905,29.72997,0.9
MaoKS-CX-2014-222,mixed,100.7648611,28.76525,1
MaoKS-CX-2014-234,mixed,99.81702,28.98162,1
MaoKS-CX-2014-253,Prot,99.0575,27.65932,1
MaoKS-CX-2014-32,mixed,102.0293,31.99135,0.875
MaoKS-CX-2014-44,mixed,102.1624694,31.21655556,0.857142857
MaoKS-CX-2014-67,mixed,102.7278889,30.7982,0.9
MaoKS-CX-2014-99,mixed,101.5003806,29.71361944,1
pda2,mixed,102.91,34.176,1
pda4,mixed,107.324,34.276,0.5
pro13,Prot,103.65,25.14,1
pro14,mixed,99.378,29.258,1
pro9,mixed,98.557,31.767,1
SS,pdav-N,124.4666667,44.13333333,0
SYS,pdav-N,131.25,47.06666667,0
xls,mixed,103.8333333,35.63333333,0.833333333
ZLP20-02,Prot,102.2791472,28.80625556,1
ZLP20-03,Prot,101.2531028,25.84286111,1
ZLP20-04,Prot,100.2423333,25.55144722,1
ZLP20-07,Prot,99.34420833,27.13961111,1
ZLP20-08,Prot,95.96082778,29.76238889,1
ZLP20-09,mixed,98.88611111,28.466775,1
ZLP20-10,mixed,97.55,29.43905278,1
ZLP20-15,Prot,93.93111111,29.17615,1
ZLP20-16,Prot,93.01297222,30.00454722,1
ZLP20-17,Prot,94.89555556,29.507925,1
ZLP20-21,mixed,97.22922222,31.205525,0.666666667
ZLP20-23,mixed,101.2234167,30.89185556,1
ZLP20-24,mixed,101.9578889,30.01171389,1
ZXX2020-HZ-SY,mixed,107.088221,32.755226,0.5
