pop,kinship,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19

BSS,pdav-N,127.9166667,43.96666667,1.408333421,12.21666718,24.98295784,1355.604248,23.29999924,-25.60000038,48.90000153,17.16666603,-16.36666679,17.16666603,-16.36666679,673,176,3,103.2576294,433,15,433,15

GDS,mixed,111.9266667,38.25,6.291666508,14.13333321,32.3417244,1096.649536,26.39999962,-17.29999924,43.69999695,17.38333321,-7.966666698,19.10000038,-7.966666698,451,121,2,108.8746872,296,9,289,9

hanguo,pdav-N,128.4,37.1,7.104166508,10.5583334,28.4591198,992.8275757,24.5,-12.60000038,37.09999847,18.95000076,-5.616666794,18.95000076,-5.616666794,1399,320,33,81.39616394,757,109,757,109

HH,pdav-N,127.8666667,50.4,-0.037499946,12.25833321,21.28182793,1706.798096,26.5,-31.10000038,57.59999847,19.41666603,-17.98333359,19.41666603,-22.56666565,537,127,5,96.88633728,330,19,330,21

HM,pdav-N,127.1,52.2,-1.779166818,13.67500019,23.45626068,1687.835449,25.89999962,-32.40000153,58.30000305,17.88333321,-23.45000076,17.88333321,-23.45000076,510,126,4,98.38289642,317,17,317,17

hybrid03,mixed,103.63,32.53,5.724999905,11.46666718,37.47276688,671.8850708,20,-10.60000038,30.60000038,12.16666698,-3.016666651,13.63333321,-3.016666651,710,114,3,76.36171722,328,16,316,16

hybrid13-15,mixed,100.35,28.35,3.845833302,12.5583334,43.45444107,600.6831665,15.80000019,-13.10000038,28.90000153,10.73333359,-3.916666746,10.73333359,-3.916666746,670,145,3,88.32402802,376,17,376,17

JSZ,pdav-N,127.3166667,43.25,3.625,12.03333282,24.16332054,1383.548584,25.29999924,-24.5,49.79999924,19.48333359,-14.85000038,19.48333359,-14.85000038,683,177,5,99.89041138,430,21,430,21

KMC,Prot,103.2833333,25.46666667,14.85833359,10.76666641,47.01601028,461.0750122,24.39999962,1.5,22.89999962,19.73333359,8.633333206,19.73333359,8.633333206,903,172,12,83.50322723,495,39,495,39

LHS,pdav-N,124.8166667,44.78333333,4.591666698,11.5,22.59332085,1484.013062,27.5,-23.39999962,50.90000153,21.66666603,-14.91666698,21.66666603,-14.91666698,500,163,2,118.1438217,349,9,349,9

LiuJQ-MZL-2013-042+43,mixed,110.2974333,31.471,6.358333111,7.816666603,27.0472908,772.7072754,20.29999924,-8.600000381,28.89999962,15.64999962,-3.416666746,15.64999962,-3.416666746,1310,213,20,63.07371521,565,71,565,71

LiuJQ-MZL-2013-082,mixed,111.8500556,33.94915,13.55000019,11.03333282,31.43399811,893.9086914,30,-5.099999905,35.09999847,22.98333359,2,24.33333397,2,708,141,7,72.07249451,352,28,323,28

LiuJQ-MZL-2013-099,mixed,110.9376,35.92536667,7.900000095,11.0666666,30.15440369,949.7105103,25.20000076,-11.5,36.70000076,17.88333321,-4.316666603,19.21666718,-4.316666603,543,119,3,89.95088196,317,12,294,12

LiuJQ-MZL-2013-115,mixed,112.0744,38.85555,2.987499952,13.24166679,31.60302353,1063.574829,22.39999962,-19.5,41.90000153,15.48333359,-10.76666641,15.48333359,-10.76666641,477,127,2,110.4821091,312,9,312,9

LiuJQ-MZL-2013-117,mixed,111.2848333,38.21626667,5.845833302,13.27500057,30.8720932,1100.781616,25.60000038,-17.39999962,43,16.98333359,-8.583333015,18.64999962,-8.583333015,499,123,4,101.4290543,317,14,300,14

LiuJQ-MZL-2013-136,mixed,111.2645667,37.20483333,6.766666412,12.30000019,30.82706833,1015.138428,25.29999924,-14.60000038,39.90000153,17.28333282,-6.416666508,18.70000076,-6.416666508,500,119,2,99.73942566,313,9,296,9

LiuJQ-MZL-2013-142,mixed,113.4846667,38.95088333,2.316666603,13.08333302,31.60225487,1061.359253,21.39999962,-20,41.40000153,14.80000019,-11.35000038,14.80000019,-11.35000038,518,146,4,105.7267609,332,17,332,17

LiuJQ-MZL-2013-152,mixed,113.8048639,39.57789722,3.275000095,13.26666641,30.85271263,1116.792236,23.20000076,-19.79999924,43,16.38333321,-11.16666603,16.38333321,-11.16666603,465,128,4,100.6067734,291,18,291,18

LiuJQ-MZL-2013-167,mixed,114.7267778,39.22044444,5.483333111,12.1833334,29.86111069,1071.456787,24.39999962,-16.39999962,40.79999924,18.13333321,-8.350000381,18.13333321,-8.350000381,506,149,2,110.6287384,336,11,336,11

LiuJQ-MZL-2013-174,mixed,117.4806667,40.58663889,3.129166603,11.49166679,28.02845573,1111.222656,22.20000076,-18.79999924,41,16.26666641,-11.11666679,16.26666641,-11.11666679,604,180,3,115.8970642,418,12,418,12

LiuJQ-MZL-2013-192,mixed,119.1591944,40.9085,7.800000191,12.6833334,29.15708923,1172.084351,27.39999962,-16.10000038,43.5,21.45000076,-7.416666985,21.45000076,-7.416666985,522,162,2,122.0781555,372,8,372,8

LiuJQ-MZL-2013-197,mixed,119.9179167,41.17952778,8.212499619,12.89166641,28.9050827,1209.113403,28.10000038,-16.5,44.59999847,22.23333359,-7.533333302,22.23333359,-7.533333302,504,160,2,120.8448257,356,7,356,7

LiuJQ-MZL-2013-203,mixed,121.5665,41.53786111,7.650000095,10.59999943,24.82435608,1231.121094,26.89999962,-15.80000019,42.70000076,21.91666603,-8.433333397,21.91666603,-8.433333397,539,162,2,115.3441315,366,7,366,7

LiuJQ-MZL-2013-221,pdav-N,123.15125,40.99263889,7.841666698,9.966667175,23.28660583,1219.76123,26.79999924,-16,42.79999924,21.88333321,-8.233333588,21.88333321,-8.233333588,731,201,5,107.6077423,471,19,471,19

LiuJQ-MZL-2013-238,pdav-N,124.38425,40.62366667,7.408333302,10.98333359,25.19113159,1191.616211,26.79999924,-16.79999924,43.59999847,21.26666641,-8.25,21.26666641,-8.25,965,264,10,104.0037003,609,36,609,36

LiuJQ-MZL-2013-247,pdav-N,126.5994722,41.94136111,4.287499905,12.9416666,25.62706375,1365.315674,26.60000038,-23.89999962,50.5,20.11666679,-13.89999962,20.11666679,-13.89999962,844,213,8,98.28425598,525,32,525,32

LiuJQ-MZL-2013-257,pdav-N,127.5297778,41.47919444,3.787500143,12.64166641,26.33680534,1294.240967,25.39999962,-22.60000038,48,18.81666756,-13.36666679,18.81666756,-13.36666679,783,185,11,93.32143402,475,39,475,39

LiuJQ-MZL-2013-264,pdav-N,128.1434167,41.57469444,1.433333278,12.5666666,26.68082237,1270.031006,22.79999924,-24.29999924,47.09999847,16.25,-15.19999981,16.25,-15.19999981,723,166,8,94.60202789,444,29,444,29

LiuJQ-MZL-2013-270,pdav-N,126.8848333,42.62916667,3.75,12.78333378,25.16404152,1372.363647,26.10000038,-24.70000076,50.80000305,19.61666679,-14.51666641,19.61666679,-14.51666641,769,196,8,97.73883057,478,29,478,29

LiuJQ-MZL-2013-282,pdav-N,128.9276111,42.48758333,4.020833015,12.125,27.24719048,1213.807861,24.29999924,-20.20000076,44.5,18.18333244,-11.78333378,18.18333244,-11.78333378,623,141,5,95.31421661,380,20,380,20

LiuJQ-MZL-2013-298,pdav-N,129.0338889,43.90666667,2.537499905,11.95833302,24.8613987,1352.260986,24.5,-23.60000038,48.09999847,18.21666718,-15.1833334,18.21666718,-15.1833334,593,140,3,99.44890594,372,14,372,14

LiuJQ-MZL-2013-313,pdav-N,129.7575,46.71594444,2.424999952,11.71666718,22.66279793,1494.788696,26.20000076,-25.5,51.70000076,19.78333282,-17.16666603,19.78333282,-17.16666603,592,141,4,101.0153351,374,17,374,17

LiuJQ-MZL-2013-327,pdav-N,127.1319444,45.38769444,3.670833349,11.79166698,22.63275719,1484.213013,27,-25.10000038,52.09999847,20.86666679,-15.88333321,20.86666679,-15.88333321,566,161,3,108.4756622,373,13,373,13

LiuJQ-MZL-2013-338,pdav-N,126.7770833,48.75094444,-0.100000046,12.4333334,22.36211014,1618.197632,25,-30.60000038,55.59999847,18.56666756,-21.45000076,18.56666756,-21.45000076,531,147,4,107.5204239,347,14,347,14

