pop,vcf_ID,Q_pro,group1,group2,hybrid_index
BSS,CRR055682_f,0.00001,P. davidiana-N,P. davidiana-N,0.000871145288853109
BSS,CRR055683_f,0.00001,P. davidiana-N,P. davidiana-N,0.0015154828670593
BSS,CRR055684_f,0.00001,P. davidiana-N,P. davidiana-N,0.00307580825412998
BSS,CRR055685_f,0.00001,P. davidiana-N,P. davidiana-N,0.000873041130479326
BSS,CRR055686_f,0.00001,P. davidiana-N,P. davidiana-N,0.00599162612871561
GDS,CRR055687_f,0.221518,BCd,admixed,0.27946852454579
GDS,CRR055688_f,0.224658,BCd,admixed,0.272705327960315
GDS,CRR055690_f,0.231122,BCd,admixed,0.287712116970206
GDS,CRR055691_f,0.216978,BCd,admixed,0.281578879194274
HH,CRR055692_f,0.00001,P. davidiana-N,P. davidiana-N,0.00251516045925922
HH,CRR055693_f,0.00001,P. davidiana-N,P. davidiana-N,0.00177023008793057
HH,CRR055694_f,0.00001,P. davidiana-N,P. davidiana-N,0.00237220188383084
HM,CRR055695_f,0.00001,P. davidiana-N,P. davidiana-N,0.000991498041227295
HM,CRR055696_f,0.00001,P. davidiana-N,P. davidiana-N,0.00170032307703081
HM,CRR055697_f,0.00001,P. davidiana-N,P. davidiana-N,0.000991231297966971
HM,CRR055698_f,0.00001,P. davidiana-N,P. davidiana-N,0.0008716712218095
JSZ,CRR055699_f,0.00001,P. davidiana-N,P. davidiana-N,0.00145749303731637
JSZ,CRR055700_f,0.00001,P. davidiana-N,P. davidiana-N,0.000981983272094771
JSZ,CRR055701_f,0.00001,P. davidiana-N,P. davidiana-N,0.00184037066185021
JSZ,CRR055702_f,0.00001,P. davidiana-N,P. davidiana-N,0.00219689463088859
KMC,CRR055703_f,0.99999,P. rotundifolia,P. rotundifolia,0.999661365958643
KMC,CRR055704_f,0.99999,P. rotundifolia,P. rotundifolia,0.999714375413668
LHS,CRR055705_f,0.00001,P. davidiana-N,P. davidiana-N,0.00175213776182884
LHS,CRR055706_f,0.00001,P. davidiana-N,P. davidiana-N,0.00680890546126162
LHS,CRR055707_f,0.00001,P. davidiana-N,P. davidiana-N,0.00633751349536338
LHS,CRR055708_f,0.00001,P. davidiana-N,P. davidiana-N,0.000773879669884728
LJ,CRR055709_f,0.99999,P. rotundifolia,P. rotundifolia,0.999332096465542
LJ,CRR055710_f,0.99999,P. rotundifolia,P. rotundifolia,0.999370101070655
LJ,CRR055711_f,0.99999,P. rotundifolia,P. rotundifolia,0.998990148044656
LJ,CRR055712_f,0.99999,P. rotundifolia,P. rotundifolia,0.997911060344993
LJ,CRR055713_f,0.99999,P. rotundifolia,P. rotundifolia,0.999365611521866
LJ,CRR055714_f,0.99999,P. rotundifolia,P. rotundifolia,0.997951315232218
LJ,CRR055715_f,0.99999,P. rotundifolia,P. rotundifolia,0.999429483947364
LJ,CRR055716_f,0.99999,P. rotundifolia,P. rotundifolia,0.999672204868246
LJ,CRR055717_f,0.99999,P. rotundifolia,P. rotundifolia,0.99945580510537
SS,CRR055718_f,0.00001,P. davidiana-N,P. davidiana-N,0.000860535479319566
SS,CRR055719_f,0.00001,P. davidiana-N,P. davidiana-N,0.0158560134897402
SS,CRR055720_f,0.00001,P. davidiana-N,P. davidiana-N,0.000600660270658733
SS,CRR055721_f,0.00001,P. davidiana-N,P. davidiana-N,0.00133984721064136
SYS,CRR055723_f,0.00001,P. davidiana-N,P. davidiana-N,0.000900552064609127
LiuJQ-MZL-2013-313,D1910654A-GQ_BDSW192028649-1a,0.00001,P. davidiana-N,P. davidiana-N,0.00136026317107484
LiuJQ-MZL-2013-257,D1910655A-GQ_BDSW192028648-1a,0.00001,P. davidiana-N,P. davidiana-N,0.00130062846711189
MaoKS-CX-2014-32,hybrid01_HJNT3CCXY_L2,0.503366,BCr,admixed,0.49862282699324
MaoKS-CX-2014-32,hybrid02_HJNT3CCXY_L3,0.526916,BCr,admixed,0.528925070835584
MaoKS-CX-2014-67,hybrid03_HJYKNCCXY_L6,0.433978,BCr,admixed,0.437273214354985
MaoKS-CX-2014-67,hybrid04_HJYW3CCXY_L3,0.386953,BCr,admixed,0.395722639909055
MaoKS-CX-2014-67,hybrid05_HJYW3CCXY_L7,0.525756,BCr,admixed,0.543748492400343
hybrid03,hybrid08_HJYKNCCXY_L4,0.27896,P. davidiana-S,admixed,0.308650058566175
hybrid03,hybrid10_HJYKNCCXY_L4,0.270693,P. davidiana-S,admixed,0.322688539228861
hybrid13-15,hybrid13,0.875037,BCr,admixed,0.811931823844815
hybrid13-15,hybrid15_HJYKNCCXY_L4,0.855624,BCr,admixed,0.807120593474492
ZLP20-02,hybrid18_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.999642239318178
ZLP20-02,hybrid19_HJYKNCCXY_L6,0.99999,P. rotundifolia,P. rotundifolia,0.998001581775331
ZLP20-02,hybrid21_HJYKNCCXY_L6,0.97068,P. rotundifolia,P. rotundifolia,0.967623949654642
ZLP20-02,hybrid22_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.99808076392526
MaoKS-CX-2014-120,hybrid23_HJYKNCCXY_L8,0.99999,P. rotundifolia,P. rotundifolia,0.999422579337603
MaoKS-CX-2014-120,hybrid25_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.999356423248319
MaoKS-CX-2014-120,hybrid26_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.999493267304531
MaoKS-CX-2014-120,hybrid27_HJYKNCCXY_L7,0.99999,P. rotundifolia,P. rotundifolia,0.999599497252151
ZLP20-03,hybrid28_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.999771413437527
ZLP20-03,hybrid29,0.99999,P. rotundifolia,P. rotundifolia,0.999334276367533
ZLP20-03,hybrid30_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.999617172104789
ZLP20-03,hybrid31_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.999684842558594
ZLP20-03,hybrid32_HJYKNCCXY_L5,0.99999,P. rotundifolia,P. rotundifolia,0.999880181147754
ZLP20-23,hybrid33_HJYKNCCXY_L6,0.700562,BCr,admixed,0.682661440980201
ZLP20-23,hybrid34_HJYKNCCXY_L6,0.572052,BCr,admixed,0.556514753276908
ZLP20-23,hybrid37_HJYKNCCXY_L6,0.584927,BCr,admixed,0.573843360124912
LiuJQ-MZL-2013-042+43,LiuJQ-MZL-2013-042-1B,0.254446,P. davidiana-S,admixed,0.310583349483017
LiuJQ-MZL-2013-042+43,LiuJQ-MZL-2013-042-2B,0.257052,P. davidiana-S,admixed,0.295493807428202
LiuJQ-MZL-2013-042+43,LiuJQ-MZL-2013-042-6B,0.260316,P. davidiana-S,admixed,0.309021720365228
LiuJQ-MZL-2013-042+43,LiuJQ-MZL-2013-043-1C,0.257816,P. davidiana-S,admixed,0.304634787737552
LiuJQ-MZL-2013-042+43,LiuJQ-MZL-2013-043-2B,0.26338,P. davidiana-S,admixed,0.306992463633001
LiuJQ-MZL-2013-042+43,LiuJQ-MZL-2013-043-5B,0.258783,P. davidiana-S,admixed,0.304857294787289
LiuJQ-MZL-2013-099,LiuJQ-MZL-2013-099-1B,0.234399,P. davidiana-S,admixed,0.298440205544257
LiuJQ-MZL-2013-099,LiuJQ-MZL-2013-099-2B,0.245585,P. davidiana-S,admixed,0.311945475295674
LiuJQ-MZL-2013-099,LiuJQ-MZL-2013-099-3B,0.237835,P. davidiana-S,admixed,0.280233154512667
LiuJQ-MZL-2013-099,LiuJQ-MZL-2013-099-4B,0.244127,P. davidiana-S,admixed,0.302428795172669
LiuJQ-MZL-2013-099,LiuJQ-MZL-2013-099-5B,0.244323,P. davidiana-S,admixed,0.304213294815146
LiuJQ-MZL-2013-115,LiuJQ-MZL-2013-115-2B,0.193241,BCd,admixed,0.245974314759954
LiuJQ-MZL-2013-115,LiuJQ-MZL-2013-115-5B,0.205103,BCd,admixed,0.248075386838003
LiuJQ-MZL-2013-117,LiuJQ-MZL-2013-117-11B,0.209441,BCd,admixed,0.266842325034372
LiuJQ-MZL-2013-117,LiuJQ-MZL-2013-117-14B,0.221367,BCd,admixed,0.280388896289374
LiuJQ-MZL-2013-117,LiuJQ-MZL-2013-117-2B,0.228577,BCd,admixed,0.272630486771561
LiuJQ-MZL-2013-117,LiuJQ-MZL-2013-117-5B,0.222985,BCd,admixed,0.255780947513725
LiuJQ-MZL-2013-136,LiuJQ-MZL-2013-136-6B,0.232241,P. davidiana-S,admixed,0.276445231155631
LiuJQ-MZL-2013-136,LiuJQ-MZL-2013-136-8B,0.235449,P. davidiana-S,admixed,0.297333278681492
LiuJQ-MZL-2013-142,LiuJQ-MZL-2013-142-2B,0.200806,BCd,admixed,0.25503267696971
LiuJQ-MZL-2013-142,LiuJQ-MZL-2013-142-7B,0.199026,BCd,admixed,0.262588239170103
LiuJQ-MZL-2013-152,LiuJQ-MZL-2013-152-3B,0.182996,BCd,admixed,0.243869723279166
LiuJQ-MZL-2013-152,LiuJQ-MZL-2013-152-7B,0.198945,BCd,admixed,0.242603095277301
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-16B,0.185194,BCd,admixed,0.237338639997784
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-17B,0.179538,BCd,admixed,0.227891228359767
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-18B,0.178962,BCd,admixed,0.238782190352041
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-1B,0.180113,BCd,admixed,0.210957908524173
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-20B,0.181039,BCd,admixed,0.217773867050735
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-22B,0.171199,BCd,admixed,0.232704642267858
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-26B,0.188343,BCd,admixed,0.23399733498176
LiuJQ-MZL-2013-167,LiuJQ-MZL-2013-167-5B,0.184524,BCd,admixed,0.227496354473638
LiuJQ-MZL-2013-174,LiuJQ-MZL-2013-174-12B,0.120146,BCd,admixed,0.169479114577866
LiuJQ-MZL-2013-174,LiuJQ-MZL-2013-174-13B,0.111176,BCd,admixed,0.166747208209899
LiuJQ-MZL-2013-174,LiuJQ-MZL-2013-174-14B,0.116934,BCd,admixed,0.155519157699986
LiuJQ-MZL-2013-174,LiuJQ-MZL-2013-174-15B,0.126793,BCd,admixed,0.173865633356204
LiuJQ-MZL-2013-174,LiuJQ-MZL-2013-174-16B,0.142538,BCd,admixed,0.17282097428065
LiuJQ-MZL-2013-192,LiuJQ-MZL-2013-192-5B,0.111863,BCd,admixed,0.148623073890665
LiuJQ-MZL-2013-192,LiuJQ-MZL-2013-192-9B,0.103381,BCd,admixed,0.147443625527134
LiuJQ-MZL-2013-197,LiuJQ-MZL-2013-197-14B,0.102457,BCd,admixed,0.146917477090928
LiuJQ-MZL-2013-197,LiuJQ-MZL-2013-197-15B,0.109659,BCd,admixed,0.154712249779426
LiuJQ-MZL-2013-203,LiuJQ-MZL-2013-203-3B,0.071193,BCd,admixed,0.108178307521719
LiuJQ-MZL-2013-203,LiuJQ-MZL-2013-203-7B,0.074021,BCd,admixed,0.127302998386099
LiuJQ-MZL-2013-203,LiuJQ-MZL-2013-203-9B,0.055936,BCd,admixed,0.109350560752376
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-21B,0.00001,P. davidiana-N,P. davidiana-N,0.00687108279305435
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-22B,0.00001,P. davidiana-N,P. davidiana-N,0.0076945671630565
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-23B,0.00001,P. davidiana-N,P. davidiana-N,0.0220010408575052
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-24B,0.00001,P. davidiana-N,P. davidiana-N,0.0106325370823401
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-25B,0.000252,P. davidiana-N,P. davidiana-N,0.012033975395142
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-4B,0.00001,P. davidiana-N,P. davidiana-N,0.0140704657861087
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-5B,0.00001,P. davidiana-N,P. davidiana-N,0.0213585125936231
LiuJQ-MZL-2013-221,LiuJQ-MZL-2013-221-6B,0.00001,P. davidiana-N,P. davidiana-N,0.0158942074205328
