pl,mig,script,rep,lineage,n_founding,n_final,persistence,fitness_end,fitness_lag
0.5,1e-06,with,01,pdav-N,50000,10,0.0002,0.001,6.26201
0.5,1e-06,with,02,pdav-N,50000,10,0.0002,0.001,6.26927
0.5,1e-06,with,03,pdav-N,50000,10,0.0002,0.001,6.33681
0.5,1e-06,with,04,pdav-N,50000,10,0.0002,0.001,6.1985
0.5,1e-06,with,05,pdav-N,50000,10,0.0002,0.001,6.27382
0.5,1e-06,with,06,pdav-N,50000,10,0.0002,0.001,6.29858
0.5,1e-06,with,07,pdav-N,50000,10,0.0002,0.001,6.2987
0.5,1e-06,with,08,pdav-N,50000,10,0.0002,0.001,6.255
0.5,1e-06,with,09,pdav-N,50000,10,0.0002,0.001,6.28249
0.5,1e-06,with,10,pdav-N,50000,10,0.0002,0.001,6.32261
0.5,1e-06,with,01,mixed,30000,2902,0.09673333333333334,0.0417245,4.77434
0.5,1e-06,with,02,mixed,30000,2902,0.09673333333333334,0.0418682,4.77141
0.5,1e-06,with,03,mixed,30000,2898,0.0966,0.041981,4.76949
0.5,1e-06,with,04,mixed,30000,2902,0.09673333333333334,0.0418965,4.77115
0.5,1e-06,with,05,mixed,30000,2901,0.0967,0.041827,4.77258
0.5,1e-06,with,06,mixed,30000,2904,0.0968,0.0420249,4.76906
0.5,1e-06,with,07,mixed,30000,2900,0.09666666666666666,0.0417697,4.77345
0.5,1e-06,with,08,mixed,30000,2900,0.09666666666666666,0.0418367,4.77216
0.5,1e-06,with,09,mixed,30000,2899,0.09663333333333333,0.0418641,4.77202
0.5,1e-06,with,10,mixed,30000,2897,0.09656666666666666,0.0419848,4.76936
0.5,1e-06,with,01,rot,20000,2833,0.14165,0.063462,3.63257
0.5,1e-06,with,02,rot,20000,2838,0.1419,0.0638556,3.62821
0.5,1e-06,with,03,rot,20000,2831,0.14155,0.0638678,3.62839
0.5,1e-06,with,04,rot,20000,2834,0.1417,0.0638245,3.62839
0.5,1e-06,with,05,rot,20000,2826,0.1413,0.0635995,3.63105
0.5,1e-06,with,06,rot,20000,2836,0.1418,0.0637519,3.62956
0.5,1e-06,with,07,rot,20000,2835,0.14175,0.0636774,3.63016
0.5,1e-06,with,08,rot,20000,2832,0.1416,0.0635153,3.63199
0.5,1e-06,with,09,rot,20000,2837,0.14185,0.0638403,3.62828
0.5,1e-06,with,10,rot,20000,2830,0.1415,0.0634089,3.633
0.5,1e-06,without,01,pdav-N,50000,10,0.0002,0.001,6.2339
0.5,1e-06,without,02,pdav-N,50000,10,0.0002,0.001,6.28184
0.5,1e-06,without,03,pdav-N,50000,10,0.0002,0.001,6.24616
0.5,1e-06,without,04,pdav-N,50000,10,0.0002,0.001,6.27979
0.5,1e-06,without,05,pdav-N,50000,10,0.0002,0.001,6.29498
0.5,1e-06,without,06,pdav-N,50000,10,0.0002,0.001,6.25876
0.5,1e-06,without,07,pdav-N,50000,10,0.0002,0.001,6.29375
0.5,1e-06,without,08,pdav-N,50000,10,0.0002,0.001,6.27562
0.5,1e-06,without,09,pdav-N,50000,10,0.0002,0.001,6.22658
0.5,1e-06,without,10,pdav-N,50000,10,0.0002,0.001,6.30733
0.5,1e-06,without,01,mixed,30000,2900,0.09666666666666666,0.0420572,4.76822
0.5,1e-06,without,02,mixed,30000,2900,0.09666666666666666,0.0418632,4.772
0.5,1e-06,without,03,mixed,30000,2899,0.09663333333333333,0.041887,4.77129
0.5,1e-06,without,04,mixed,30000,2905,0.09683333333333333,0.042021,4.76882
0.5,1e-06,without,05,mixed,30000,2898,0.0966,0.0419289,4.77067
0.5,1e-06,without,06,mixed,30000,2900,0.09666666666666666,0.0420311,4.76877
0.5,1e-06,without,07,mixed,30000,2902,0.09673333333333334,0.0420487,4.76826
0.5,1e-06,without,08,mixed,30000,2901,0.0967,0.0421139,4.76735
0.5,1e-06,without,09,mixed,30000,2899,0.09663333333333333,0.0419775,4.76945
0.5,1e-06,without,10,mixed,30000,2895,0.0965,0.0419861,4.76934
0.5,1e-06,without,01,rot,20000,2833,0.14165,0.0638787,3.62802
0.5,1e-06,without,02,rot,20000,2838,0.1419,0.0637767,3.62892
0.5,1e-06,without,03,rot,20000,2833,0.14165,0.0634051,3.63287
0.5,1e-06,without,04,rot,20000,2835,0.14175,0.0640347,3.6262
0.5,1e-06,without,05,rot,20000,2836,0.1418,0.0634496,3.63241
0.5,1e-06,without,06,rot,20000,2835,0.14175,0.0640093,3.62655
0.5,1e-06,without,07,rot,20000,2837,0.14185,0.0639219,3.6277
0.5,1e-06,without,08,rot,20000,2833,0.14165,0.0638182,3.62863
