replicate	generation	lineage	n_individuals	mean_fitness	mean_phenotype	sd_phenotype	mean_optimum
pl_sweep	1	pdav-N	50000	0.99809	4.75293e-05	0.0997213	-0.0
pl_sweep	1	mixed	30000	0.999652	0.000331057	0.0998027	0.0
pl_sweep	1	rot	20000	0.999461	-0.00129082	0.100961	0.0
pl_sweep	2	pdav-N	50000	0.998053	0.000461415	0.100681	-0.0
pl_sweep	2	mixed	30000	0.999652	0.000263196	0.0998346	0.0
pl_sweep	2	rot	20000	0.999476	-0.000289086	0.0996275	0.0
pl_sweep	3	pdav-N	50000	0.998102	0.00063059	0.0994088	-0.0
pl_sweep	3	mixed	30000	0.999647	0.000113663	0.100582	0.0
pl_sweep	3	rot	20000	0.999462	0.000518525	0.100945	0.0
pl_sweep	4	pdav-N	50000	0.998086	0.000240238	0.0998285	-0.0
pl_sweep	4	mixed	30000	0.999652	-0.000220571	0.0998579	0.0
pl_sweep	4	rot	20000	0.999468	0.000117576	0.100341	0.0
pl_sweep	5	pdav-N	50000	0.99808	0.000654982	0.0999833	-0.0
pl_sweep	5	mixed	30000	0.999649	-0.000161732	0.100217	0.0
pl_sweep	5	rot	20000	0.999477	0.00123107	0.0994865	0.0
pl_sweep	6	pdav-N	50000	0.998083	0.000178245	0.0999041	-0.0
pl_sweep	6	mixed	30000	0.999647	0.000979507	0.100509	0.0
pl_sweep	6	rot	20000	0.999469	-0.000306115	0.100219	0.0
pl_sweep	7	pdav-N	50000	0.998075	0.000696765	0.100102	-0.0
pl_sweep	7	mixed	30000	0.999652	-0.000267068	0.0998757	0.0
pl_sweep	7	rot	20000	0.999469	-0.000480938	0.100265	0.0
pl_sweep	8	pdav-N	50000	0.998117	-0.000495877	0.0990131	-0.0
pl_sweep	8	mixed	30000	0.99965	-3.42726e-05	0.100145	0.0
pl_sweep	8	rot	20000	0.99947	-0.000899926	0.100195	0.0
pl_sweep	9	pdav-N	50000	0.998065	0.000205896	0.100375	-0.0
pl_sweep	9	mixed	30000	0.999656	8.61992e-05	0.0993229	0.0
pl_sweep	9	rot	20000	0.999466	0.000525432	0.100533	0.0
pl_sweep	10	pdav-N	50000	0.998083	-0.000500431	0.0998967	-0.0
pl_sweep	10	mixed	30000	0.999656	0.000481883	0.0992247	0.0
pl_sweep	10	rot	20000	0.999468	-0.000715471	0.100343	0.0
pl_sweep	11	pdav-N	50000	0.998086	-0.000379797	0.0998363	-0.0
pl_sweep	11	mixed	30000	0.999654	-0.000284165	0.0996021	0.0
pl_sweep	11	rot	20000	0.999468	0.000553685	0.100305	0.0
pl_sweep	12	pdav-N	50000	0.998099	0.000739143	0.099493	-0.0
pl_sweep	12	mixed	30000	0.999655	2.59492e-05	0.099377	0.0
pl_sweep	12	rot	20000	0.999467	8.91238e-05	0.100483	0.0
pl_sweep	13	pdav-N	50000	0.998084	0.000149765	0.0998867	-0.0
pl_sweep	13	mixed	30000	0.999651	-0.000234513	0.0999288	0.0
pl_sweep	13	rot	20000	0.999479	0.000232607	0.0993425	0.0
pl_sweep	14	pdav-N	50000	0.998068	0.000280299	0.100309	-0.0
pl_sweep	14	mixed	30000	0.999651	-0.000123085	0.10005	0.0
pl_sweep	14	rot	20000	0.999475	0.000465021	0.0997225	0.0
